date_key,date,day,week,month,quarter,year
D000509,11-03-2014,11,2nd Week,3,Q1,2014
D000510,31-10-2019,31,4th Week,10,Q4,2019
D000511,26-09-2014,26,4th Week,9,Q3,2014
D000512,18-04-2014,18,3rd Week,4,Q2,2014
D000513,01-08-2018,1,1st Week,8,Q3,2018
D000514,28-01-2020,28,4th Week,1,Q1,2020
D000515,29-08-2014,29,4th Week,8,Q3,2014
D000516,14-02-2015,14,2nd Week,2,Q1,2015
D000517,28-09-2019,28,4th Week,9,Q3,2019
D000518,11-08-2018,11,2nd Week,8,Q3,2018
D000519,26-09-2018,26,4th Week,9,Q3,2018
D000520,26-05-2017,26,4th Week,5,Q2,2017
D000521,09-03-2015,9,2nd Week,3,Q1,2015
D000522,04-09-2014,4,1st Week,9,Q3,2014
D000523,27-01-2014,27,4th Week,1,Q1,2014
D000524,17-09-2018,17,3rd Week,9,Q3,2018
D000525,04-04-2015,4,1st Week,4,Q2,2015
D000526,30-08-2019,30,4th Week,8,Q3,2019
D000527,25-01-2020,25,4th Week,1,Q1,2020
D000528,05-02-2017,5,1st Week,2,Q1,2017
D000529,03-08-2016,3,1st Week,8,Q3,2016
D000530,01-11-2016,1,1st Week,11,Q4,2016
D000531,07-08-2014,7,1st Week,8,Q3,2014
D000532,30-11-2018,30,4th Week,11,Q4,2018
D000533,08-12-2018,8,2nd Week,12,Q4,2018
D000534,28-04-2018,28,4th Week,4,Q2,2018
D000535,24-05-2019,24,4th Week,5,Q2,2019
D000536,22-07-2014,22,4th Week,7,Q3,2014
D000537,24-02-2019,24,4th Week,2,Q1,2019
D000538,12-03-2017,12,2nd Week,3,Q1,2017
D000539,26-11-2017,26,4th Week,11,Q4,2017
D000540,15-09-2017,15,3rd Week,9,Q3,2017
D000541,02-02-2018,2,1st Week,2,Q1,2018
D000542,11-11-2018,11,2nd Week,11,Q4,2018
D000543,01-02-2016,1,1st Week,2,Q1,2016
D000544,15-02-2014,15,3rd Week,2,Q1,2014
D000545,29-11-2020,29,4th Week,11,Q4,2020
D000546,02-11-2015,2,1st Week,11,Q4,2015
D000547,26-07-2018,26,4th Week,7,Q3,2018
D000548,31-08-2015,31,4th Week,8,Q3,2015
D000549,30-12-2016,30,4th Week,12,Q4,2016
D000550,07-03-2020,7,1st Week,3,Q1,2020
D000551,22-04-2019,22,4th Week,4,Q2,2019
D000552,03-06-2014,3,1st Week,6,Q2,2014
D000553,05-10-2020,5,1st Week,10,Q4,2020
D000554,15-12-2017,15,3rd Week,12,Q4,2017
D000555,17-06-2017,17,3rd Week,6,Q2,2017
D000556,24-02-2016,24,4th Week,2,Q1,2016
D000557,04-05-2020,4,1st Week,5,Q2,2020
D000558,15-11-2018,15,3rd Week,11,Q4,2018
D000559,05-08-2018,5,1st Week,8,Q3,2018
D000560,02-09-2018,2,1st Week,9,Q3,2018
D000561,22-09-2020,22,4th Week,9,Q3,2020
D000562,01-02-2018,1,1st Week,2,Q1,2018
D000563,05-04-2014,5,1st Week,4,Q2,2014
D000564,03-10-2017,3,1st Week,10,Q4,2017
D000565,22-12-2020,22,4th Week,12,Q4,2020
D000566,23-03-2019,23,4th Week,3,Q1,2019
D000567,09-01-2018,9,2nd Week,1,Q1,2018
D000568,22-01-2020,22,4th Week,1,Q1,2020
D000569,01-02-2019,1,1st Week,2,Q1,2019
D000570,18-09-2018,18,3rd Week,9,Q3,2018
D000571,30-07-2016,30,4th Week,7,Q3,2016
D000572,30-05-2018,30,4th Week,5,Q2,2018
D000573,08-05-2016,8,2nd Week,5,Q2,2016
D000574,26-03-2020,26,4th Week,3,Q1,2020
D000575,16-03-2015,16,3rd Week,3,Q1,2015
D000576,30-12-2015,30,4th Week,12,Q4,2015
D000577,12-03-2020,12,2nd Week,3,Q1,2020
D000578,14-09-2015,14,2nd Week,9,Q3,2015
D000579,27-12-2014,27,4th Week,12,Q4,2014
D000580,01-03-2017,1,1st Week,3,Q1,2017
D000581,10-09-2016,10,2nd Week,9,Q3,2016
D000582,05-05-2014,5,1st Week,5,Q2,2014
D000583,25-08-2016,25,4th Week,8,Q3,2016
D000584,17-09-2016,17,3rd Week,9,Q3,2016
D000585,03-06-2015,3,1st Week,6,Q2,2015
D000586,24-03-2016,24,4th Week,3,Q1,2016
D000587,18-04-2020,18,3rd Week,4,Q2,2020
D000588,14-05-2015,14,2nd Week,5,Q2,2015
D000589,18-06-2019,18,3rd Week,6,Q2,2019
D000590,27-05-2020,27,4th Week,5,Q2,2020
D000591,10-08-2019,10,2nd Week,8,Q3,2019
D000592,09-07-2015,9,2nd Week,7,Q3,2015
D000593,17-07-2017,17,3rd Week,7,Q3,2017
D000594,01-04-2017,1,1st Week,4,Q2,2017
D000595,06-08-2015,6,1st Week,8,Q3,2015
D000596,27-09-2020,27,4th Week,9,Q3,2020
D000597,01-01-2018,1,1st Week,1,Q1,2018
D000598,27-02-2014,27,4th Week,2,Q1,2014
D000599,10-03-2020,10,2nd Week,3,Q1,2020
D000600,07-10-2015,7,1st Week,10,Q4,2015
D000601,28-01-2015,28,4th Week,1,Q1,2015
D000602,08-12-2020,8,2nd Week,12,Q4,2020
D000603,10-08-2017,10,2nd Week,8,Q3,2017
D000604,11-09-2014,11,2nd Week,9,Q3,2014
D000605,26-02-2015,26,4th Week,2,Q1,2015
D000606,24-01-2014,24,4th Week,1,Q1,2014
D000607,16-05-2014,16,3rd Week,5,Q2,2014
D000608,19-05-2020,19,3rd Week,5,Q2,2020
D000609,30-05-2014,30,4th Week,5,Q2,2014
D000610,25-03-2015,25,4th Week,3,Q1,2015
D000611,07-05-2018,7,1st Week,5,Q2,2018
D000612,04-04-2017,4,1st Week,4,Q2,2017
D000613,12-06-2016,12,2nd Week,6,Q2,2016
D000614,23-10-2020,23,4th Week,10,Q4,2020
D000615,25-11-2016,25,4th Week,11,Q4,2016
D000616,16-08-2014,16,3rd Week,8,Q3,2014
D000617,01-11-2019,1,1st Week,11,Q4,2019
D000618,31-12-2018,31,4th Week,12,Q4,2018
D000619,07-02-2020,7,1st Week,2,Q1,2020
D000620,25-03-2014,25,4th Week,3,Q1,2014
D000621,30-09-2020,30,4th Week,9,Q3,2020
D000622,15-07-2016,15,3rd Week,7,Q3,2016
D000623,13-02-2020,13,2nd Week,2,Q1,2020
D000624,05-06-2015,5,1st Week,6,Q2,2015
D000625,02-06-2016,2,1st Week,6,Q2,2016
D000626,28-08-2014,28,4th Week,8,Q3,2014
D000627,29-10-2018,29,4th Week,10,Q4,2018
D000628,03-03-2015,3,1st Week,3,Q1,2015
D000629,18-07-2020,18,3rd Week,7,Q3,2020
D000630,18-01-2021,18,3rd Week,1,Q1,2021
D000631,18-01-2015,18,3rd Week,1,Q1,2015
D000632,17-05-2018,17,3rd Week,5,Q2,2018
D000633,14-08-2015,14,2nd Week,8,Q3,2015
D000634,27-10-2018,27,4th Week,10,Q4,2018
D000635,19-10-2019,19,3rd Week,10,Q4,2019
D000636,30-04-2019,30,4th Week,4,Q2,2019
D000637,08-07-2020,8,2nd Week,7,Q3,2020
D000638,01-12-2015,1,1st Week,12,Q4,2015
D000639,09-08-2015,9,2nd Week,8,Q3,2015
D000640,06-06-2018,6,1st Week,6,Q2,2018
D000641,28-10-2017,28,4th Week,10,Q4,2017
D000642,04-06-2015,4,1st Week,6,Q2,2015
D000643,24-01-2019,24,4th Week,1,Q1,2019
D000644,08-05-2017,8,2nd Week,5,Q2,2017
D000645,12-12-2019,12,2nd Week,12,Q4,2019
D000646,23-05-2016,23,4th Week,5,Q2,2016
D000647,24-04-2020,24,4th Week,4,Q2,2020
D000648,26-03-2019,26,4th Week,3,Q1,2019
D000649,20-03-2017,20,3rd Week,3,Q1,2017
D000650,18-06-2016,18,3rd Week,6,Q2,2016
D000651,03-10-2015,3,1st Week,10,Q4,2015
D000652,28-06-2019,28,4th Week,6,Q2,2019
D000653,16-12-2016,16,3rd Week,12,Q4,2016
D000654,17-08-2014,17,3rd Week,8,Q3,2014
D000655,12-12-2017,12,2nd Week,12,Q4,2017
D000656,14-05-2016,14,2nd Week,5,Q2,2016
D000657,28-04-2019,28,4th Week,4,Q2,2019
D000658,24-09-2015,24,4th Week,9,Q3,2015
D000659,10-10-2019,10,2nd Week,10,Q4,2019
D000660,04-10-2015,4,1st Week,10,Q4,2015
D000661,06-02-2016,6,1st Week,2,Q1,2016
D000662,18-07-2018,18,3rd Week,7,Q3,2018
D000663,16-02-2016,16,3rd Week,2,Q1,2016
D000664,23-11-2016,23,4th Week,11,Q4,2016
D000665,18-11-2014,18,3rd Week,11,Q4,2014
D000666,26-10-2020,26,4th Week,10,Q4,2020
D000667,22-01-2017,22,4th Week,1,Q1,2017
D000668,08-03-2017,8,2nd Week,3,Q1,2017
D000669,16-06-2020,16,3rd Week,6,Q2,2020
D000670,02-06-2015,2,1st Week,6,Q2,2015
D000671,29-10-2015,29,4th Week,10,Q4,2015
D000672,23-01-2020,23,4th Week,1,Q1,2020
D000673,17-04-2017,17,3rd Week,4,Q2,2017
D000674,27-05-2016,27,4th Week,5,Q2,2016
D000675,18-03-2016,18,3rd Week,3,Q1,2016
D000676,03-02-2014,3,1st Week,2,Q1,2014
D000677,23-02-2015,23,4th Week,2,Q1,2015
D000678,03-06-2018,3,1st Week,6,Q2,2018
D000679,11-12-2016,11,2nd Week,12,Q4,2016
D000680,30-10-2016,30,4th Week,10,Q4,2016
D000681,23-11-2020,23,4th Week,11,Q4,2020
D000682,23-02-2020,23,4th Week,2,Q1,2020
D000683,26-12-2019,26,4th Week,12,Q4,2019
D000684,07-05-2014,7,1st Week,5,Q2,2014
D000685,22-11-2014,22,4th Week,11,Q4,2014
D000686,03-08-2020,3,1st Week,8,Q3,2020
D000687,16-02-2015,16,3rd Week,2,Q1,2015
D000688,16-01-2019,16,3rd Week,1,Q1,2019
D000689,25-01-2017,25,4th Week,1,Q1,2017
D000690,31-07-2018,31,4th Week,7,Q3,2018
D000691,08-03-2014,8,2nd Week,3,Q1,2014
D000692,11-11-2014,11,2nd Week,11,Q4,2014
D000693,27-04-2016,27,4th Week,4,Q2,2016
D000694,16-11-2020,16,3rd Week,11,Q4,2020
D000695,26-11-2019,26,4th Week,11,Q4,2019
D000696,27-12-2015,27,4th Week,12,Q4,2015
D000697,19-01-2020,19,3rd Week,1,Q1,2020
D000698,16-06-2017,16,3rd Week,6,Q2,2017
D000699,27-07-2018,27,4th Week,7,Q3,2018
D000700,22-07-2016,22,4th Week,7,Q3,2016
D000701,21-02-2014,21,3rd Week,2,Q1,2014
D000702,08-08-2016,8,2nd Week,8,Q3,2016
D000703,03-05-2016,3,1st Week,5,Q2,2016
D000704,05-05-2018,5,1st Week,5,Q2,2018
D000705,02-06-2019,2,1st Week,6,Q2,2019
D000706,06-09-2015,6,1st Week,9,Q3,2015
D000707,01-10-2015,1,1st Week,10,Q4,2015
D000708,28-10-2020,28,4th Week,10,Q4,2020
D000709,04-01-2015,4,1st Week,1,Q1,2015
D000710,21-01-2017,21,3rd Week,1,Q1,2017
D000711,09-05-2017,9,2nd Week,5,Q2,2017
D000712,28-03-2015,28,4th Week,3,Q1,2015
D000713,23-01-2018,23,4th Week,1,Q1,2018
D000714,09-06-2018,9,2nd Week,6,Q2,2018
D000715,11-06-2017,11,2nd Week,6,Q2,2017
D000716,14-06-2017,14,2nd Week,6,Q2,2017
D000717,24-12-2019,24,4th Week,12,Q4,2019
D000718,24-03-2017,24,4th Week,3,Q1,2017
D000719,20-02-2019,20,3rd Week,2,Q1,2019
D000720,13-01-2020,13,2nd Week,1,Q1,2020
D000721,21-11-2015,21,3rd Week,11,Q4,2015
D000722,13-04-2017,13,2nd Week,4,Q2,2017
D000723,07-11-2016,7,1st Week,11,Q4,2016
D000724,08-04-2016,8,2nd Week,4,Q2,2016
D000725,25-11-2018,25,4th Week,11,Q4,2018
D000726,16-06-2016,16,3rd Week,6,Q2,2016
D000727,03-12-2020,3,1st Week,12,Q4,2020
D000728,05-10-2019,5,1st Week,10,Q4,2019
D000729,15-05-2017,15,3rd Week,5,Q2,2017
D000730,09-08-2019,9,2nd Week,8,Q3,2019
D000731,18-02-2014,18,3rd Week,2,Q1,2014
D000732,29-03-2018,29,4th Week,3,Q1,2018
D000733,12-08-2016,12,2nd Week,8,Q3,2016
D000734,12-02-2016,12,2nd Week,2,Q1,2016
D000735,20-11-2015,20,3rd Week,11,Q4,2015
D000736,27-01-2015,27,4th Week,1,Q1,2015
D000737,25-03-2018,25,4th Week,3,Q1,2018
D000738,02-12-2020,2,1st Week,12,Q4,2020
D000739,06-11-2020,6,1st Week,11,Q4,2020
D000740,13-12-2017,13,2nd Week,12,Q4,2017
D000741,20-09-2015,20,3rd Week,9,Q3,2015
D000742,10-10-2016,10,2nd Week,10,Q4,2016
D000743,29-06-2019,29,4th Week,6,Q2,2019
D000744,15-09-2015,15,3rd Week,9,Q3,2015
D000745,23-02-2019,23,4th Week,2,Q1,2019
D000746,16-06-2019,16,3rd Week,6,Q2,2019
D000747,18-08-2015,18,3rd Week,8,Q3,2015
D000748,03-07-2016,3,1st Week,7,Q3,2016
D000749,14-04-2014,14,2nd Week,4,Q2,2014
D000750,20-10-2015,20,3rd Week,10,Q4,2015
D000751,26-07-2020,26,4th Week,7,Q3,2020
D000752,25-02-2018,25,4th Week,2,Q1,2018
D000753,07-05-2016,7,1st Week,5,Q2,2016
D000754,08-07-2014,8,2nd Week,7,Q3,2014
D000755,30-06-2014,30,4th Week,6,Q2,2014
D000756,26-01-2019,26,4th Week,1,Q1,2019
D000757,07-09-2017,7,1st Week,9,Q3,2017
D000758,20-06-2017,20,3rd Week,6,Q2,2017
D000759,04-05-2014,4,1st Week,5,Q2,2014
D000760,06-11-2014,6,1st Week,11,Q4,2014
D000761,29-12-2014,29,4th Week,12,Q4,2014
D000762,11-06-2014,11,2nd Week,6,Q2,2014
D000763,12-09-2015,12,2nd Week,9,Q3,2015
D000764,27-10-2017,27,4th Week,10,Q4,2017
D000765,16-02-2017,16,3rd Week,2,Q1,2017
D000766,12-04-2015,12,2nd Week,4,Q2,2015
D000767,14-02-2019,14,2nd Week,2,Q1,2019
D000768,07-04-2015,7,1st Week,4,Q2,2015
D000769,16-11-2014,16,3rd Week,11,Q4,2014
D000770,30-05-2016,30,4th Week,5,Q2,2016
D000771,26-01-2020,26,4th Week,1,Q1,2020
D000772,25-07-2015,25,4th Week,7,Q3,2015
D000773,07-12-2015,7,1st Week,12,Q4,2015
D000774,29-06-2020,29,4th Week,6,Q2,2020
D000775,19-09-2020,19,3rd Week,9,Q3,2020
D000776,01-01-2016,1,1st Week,1,Q1,2016
D000777,08-10-2016,8,2nd Week,10,Q4,2016
D000778,15-04-2018,15,3rd Week,4,Q2,2018
D000779,18-01-2020,18,3rd Week,1,Q1,2020
D000780,06-11-2019,6,1st Week,11,Q4,2019
D000781,04-12-2018,4,1st Week,12,Q4,2018
D000782,22-12-2016,22,4th Week,12,Q4,2016
D000783,03-11-2015,3,1st Week,11,Q4,2015
D000784,04-03-2017,4,1st Week,3,Q1,2017
D000785,05-12-2017,5,1st Week,12,Q4,2017
D000786,21-09-2019,21,3rd Week,9,Q3,2019
D000787,17-07-2014,17,3rd Week,7,Q3,2014
D000788,29-04-2016,29,4th Week,4,Q2,2016
D000789,12-05-2017,12,2nd Week,5,Q2,2017
D000790,30-12-2014,30,4th Week,12,Q4,2014
D000791,17-06-2015,17,3rd Week,6,Q2,2015
D000792,22-01-2019,22,4th Week,1,Q1,2019
D000793,25-06-2016,25,4th Week,6,Q2,2016
D000794,07-01-2019,7,1st Week,1,Q1,2019
D000795,14-10-2018,14,2nd Week,10,Q4,2018
D000796,07-01-2020,7,1st Week,1,Q1,2020
D000797,02-04-2016,2,1st Week,4,Q2,2016
D000798,20-10-2019,20,3rd Week,10,Q4,2019
D000799,17-12-2020,17,3rd Week,12,Q4,2020
D000800,29-09-2018,29,4th Week,9,Q3,2018
D000801,24-10-2016,24,4th Week,10,Q4,2016
D000802,08-06-2014,8,2nd Week,6,Q2,2014
D000803,05-01-2021,5,1st Week,1,Q1,2021
D000804,04-10-2020,4,1st Week,10,Q4,2020
D000805,17-04-2016,17,3rd Week,4,Q2,2016
D000806,29-07-2016,29,4th Week,7,Q3,2016
D000807,13-03-2017,13,2nd Week,3,Q1,2017
D000808,18-10-2018,18,3rd Week,10,Q4,2018
D000809,06-11-2016,6,1st Week,11,Q4,2016
D000810,18-01-2018,18,3rd Week,1,Q1,2018
D000811,11-12-2014,11,2nd Week,12,Q4,2014
D000812,01-05-2017,1,1st Week,5,Q2,2017
D000813,25-10-2017,25,4th Week,10,Q4,2017
D000814,16-08-2016,16,3rd Week,8,Q3,2016
D000815,07-12-2014,7,1st Week,12,Q4,2014
D000816,24-05-2015,24,4th Week,5,Q2,2015
D000817,29-07-2015,29,4th Week,7,Q3,2015
D000818,07-10-2014,7,1st Week,10,Q4,2014
D000819,30-10-2017,30,4th Week,10,Q4,2017
D000820,17-07-2020,17,3rd Week,7,Q3,2020
D000821,27-08-2020,27,4th Week,8,Q3,2020
D000822,08-12-2015,8,2nd Week,12,Q4,2015
D000823,22-09-2014,22,4th Week,9,Q3,2014
D000824,14-08-2016,14,2nd Week,8,Q3,2016
D000825,04-02-2015,4,1st Week,2,Q1,2015
D000826,16-10-2016,16,3rd Week,10,Q4,2016
D000827,10-07-2020,10,2nd Week,7,Q3,2020
D000828,28-10-2015,28,4th Week,10,Q4,2015
D000829,04-09-2015,4,1st Week,9,Q3,2015
D000830,11-05-2014,11,2nd Week,5,Q2,2014
D000831,12-08-2015,12,2nd Week,8,Q3,2015
D000832,30-05-2017,30,4th Week,5,Q2,2017
D000833,11-04-2019,11,2nd Week,4,Q2,2019
D000834,04-01-2017,4,1st Week,1,Q1,2017
D000835,06-02-2015,6,1st Week,2,Q1,2015
D000836,04-09-2020,4,1st Week,9,Q3,2020
D000837,10-06-2019,10,2nd Week,6,Q2,2019
D000838,18-10-2020,18,3rd Week,10,Q4,2020
D000839,09-12-2016,9,2nd Week,12,Q4,2016
D000840,08-07-2016,8,2nd Week,7,Q3,2016
D000841,23-06-2019,23,4th Week,6,Q2,2019
D000842,23-06-2015,23,4th Week,6,Q2,2015
D000843,07-11-2014,7,1st Week,11,Q4,2014
D000844,06-04-2014,6,1st Week,4,Q2,2014
D000845,12-02-2019,12,2nd Week,2,Q1,2019
D000846,22-03-2020,22,4th Week,3,Q1,2020
D000847,18-02-2020,18,3rd Week,2,Q1,2020
D000848,05-09-2020,5,1st Week,9,Q3,2020
D000849,07-12-2019,7,1st Week,12,Q4,2019
D000850,10-06-2015,10,2nd Week,6,Q2,2015
D000851,25-09-2017,25,4th Week,9,Q3,2017
D000852,16-10-2017,16,3rd Week,10,Q4,2017
D000853,17-09-2019,17,3rd Week,9,Q3,2019
D000854,08-05-2019,8,2nd Week,5,Q2,2019
D000855,20-01-2017,20,3rd Week,1,Q1,2017
D000856,06-06-2015,6,1st Week,6,Q2,2015
D000857,04-12-2020,4,1st Week,12,Q4,2020
D000858,29-06-2015,29,4th Week,6,Q2,2015
D000859,21-12-2020,21,3rd Week,12,Q4,2020
D000860,13-04-2019,13,2nd Week,4,Q2,2019
D000861,11-05-2018,11,2nd Week,5,Q2,2018
D000862,14-02-2017,14,2nd Week,2,Q1,2017
D000863,20-12-2020,20,3rd Week,12,Q4,2020
D000864,21-06-2015,21,3rd Week,6,Q2,2015
D000865,18-07-2019,18,3rd Week,7,Q3,2019
D000866,09-11-2016,9,2nd Week,11,Q4,2016
D000867,01-12-2018,1,1st Week,12,Q4,2018
D000868,26-05-2015,26,4th Week,5,Q2,2015
D000869,30-07-2019,30,4th Week,7,Q3,2019
D000870,29-08-2017,29,4th Week,8,Q3,2017
D000871,22-05-2016,22,4th Week,5,Q2,2016
D000872,28-01-2018,28,4th Week,1,Q1,2018
D000873,16-06-2014,16,3rd Week,6,Q2,2014
D000874,28-02-2019,28,4th Week,2,Q1,2019
D000875,17-05-2014,17,3rd Week,5,Q2,2014
D000876,12-03-2014,12,2nd Week,3,Q1,2014
D000877,15-04-2016,15,3rd Week,4,Q2,2016
D000878,07-09-2018,7,1st Week,9,Q3,2018
D000879,16-06-2018,16,3rd Week,6,Q2,2018
D000880,21-07-2019,21,3rd Week,7,Q3,2019
D000881,25-01-2014,25,4th Week,1,Q1,2014
D000882,04-08-2019,4,1st Week,8,Q3,2019
D000883,26-03-2017,26,4th Week,3,Q1,2017
D000884,27-03-2018,27,4th Week,3,Q1,2018
D000885,11-01-2021,11,2nd Week,1,Q1,2021
D000886,05-09-2016,5,1st Week,9,Q3,2016
D000887,17-08-2019,17,3rd Week,8,Q3,2019
D000888,11-12-2018,11,2nd Week,12,Q4,2018
D000889,26-08-2020,26,4th Week,8,Q3,2020
D000890,20-10-2018,20,3rd Week,10,Q4,2018
D000891,27-10-2015,27,4th Week,10,Q4,2015
D000892,05-11-2018,5,1st Week,11,Q4,2018
D000893,22-08-2018,22,4th Week,8,Q3,2018
D000894,05-10-2016,5,1st Week,10,Q4,2016
D000895,15-02-2020,15,3rd Week,2,Q1,2020
D000896,07-11-2019,7,1st Week,11,Q4,2019
D000897,11-02-2016,11,2nd Week,2,Q1,2016
D000898,02-05-2019,2,1st Week,5,Q2,2019
D000899,12-05-2018,12,2nd Week,5,Q2,2018
D000900,03-09-2019,3,1st Week,9,Q3,2019
D000901,19-10-2016,19,3rd Week,10,Q4,2016
D000902,19-11-2019,19,3rd Week,11,Q4,2019
D000903,11-08-2015,11,2nd Week,8,Q3,2015
D000904,12-01-2017,12,2nd Week,1,Q1,2017
D000905,11-04-2020,11,2nd Week,4,Q2,2020
D000906,03-09-2015,3,1st Week,9,Q3,2015
D000907,17-01-2017,17,3rd Week,1,Q1,2017
D000908,02-02-2019,2,1st Week,2,Q1,2019
D000909,21-08-2020,21,3rd Week,8,Q3,2020
D000910,14-05-2019,14,2nd Week,5,Q2,2019
D000911,19-01-2021,19,3rd Week,1,Q1,2021
D000912,17-03-2015,17,3rd Week,3,Q1,2015
D000913,12-09-2016,12,2nd Week,9,Q3,2016
D000914,21-04-2015,21,3rd Week,4,Q2,2015
D000915,11-02-2018,11,2nd Week,2,Q1,2018
D000916,28-10-2018,28,4th Week,10,Q4,2018
D000917,23-07-2014,23,4th Week,7,Q3,2014
D000918,15-02-2018,15,3rd Week,2,Q1,2018
D000919,24-04-2018,24,4th Week,4,Q2,2018
D000920,17-07-2019,17,3rd Week,7,Q3,2019
D000921,07-03-2015,7,1st Week,3,Q1,2015
D000922,27-12-2019,27,4th Week,12,Q4,2019
D000923,22-02-2020,22,4th Week,2,Q1,2020
D000924,26-12-2015,26,4th Week,12,Q4,2015
D000925,31-05-2019,31,4th Week,5,Q2,2019
D000926,01-03-2019,1,1st Week,3,Q1,2019
D000927,04-10-2019,4,1st Week,10,Q4,2019
D000928,03-05-2020,3,1st Week,5,Q2,2020
D000929,18-02-2015,18,3rd Week,2,Q1,2015
D000930,07-08-2015,7,1st Week,8,Q3,2015
D000931,11-10-2017,11,2nd Week,10,Q4,2017
D000932,23-07-2017,23,4th Week,7,Q3,2017
D000933,14-03-2018,14,2nd Week,3,Q1,2018
D000934,14-02-2016,14,2nd Week,2,Q1,2016
D000935,22-12-2017,22,4th Week,12,Q4,2017
D000936,27-12-2020,27,4th Week,12,Q4,2020
D000937,04-06-2014,4,1st Week,6,Q2,2014
D000938,09-10-2016,9,2nd Week,10,Q4,2016
D000939,09-03-2018,9,2nd Week,3,Q1,2018
D000940,21-08-2016,21,3rd Week,8,Q3,2016
D000941,24-08-2017,24,4th Week,8,Q3,2017
D000942,10-06-2014,10,2nd Week,6,Q2,2014
D000943,08-02-2014,8,2nd Week,2,Q1,2014
D000944,17-02-2020,17,3rd Week,2,Q1,2020
D000945,18-04-2015,18,3rd Week,4,Q2,2015
D000946,06-02-2017,6,1st Week,2,Q1,2017
D000947,24-07-2017,24,4th Week,7,Q3,2017
D000948,07-01-2017,7,1st Week,1,Q1,2017
D000949,16-11-2015,16,3rd Week,11,Q4,2015
D000950,12-07-2020,12,2nd Week,7,Q3,2020
D000951,25-04-2017,25,4th Week,4,Q2,2017
D000952,15-11-2019,15,3rd Week,11,Q4,2019
D000953,17-11-2019,17,3rd Week,11,Q4,2019
D000954,06-07-2015,6,1st Week,7,Q3,2015
D000955,08-09-2016,8,2nd Week,9,Q3,2016
D000956,02-11-2017,2,1st Week,11,Q4,2017
D000957,01-08-2017,1,1st Week,8,Q3,2017
D000958,02-07-2018,2,1st Week,7,Q3,2018
D000959,14-09-2020,14,2nd Week,9,Q3,2020
D000960,19-05-2014,19,3rd Week,5,Q2,2014
D000961,13-03-2014,13,2nd Week,3,Q1,2014
D000962,12-03-2016,12,2nd Week,3,Q1,2016
D000963,21-01-2016,21,3rd Week,1,Q1,2016
D000964,27-05-2018,27,4th Week,5,Q2,2018
D000965,24-02-2014,24,4th Week,2,Q1,2014
D000966,13-08-2014,13,2nd Week,8,Q3,2014
D000967,16-05-2018,16,3rd Week,5,Q2,2018
D000968,02-06-2017,2,1st Week,6,Q2,2017
D000969,27-08-2017,27,4th Week,8,Q3,2017
D000970,21-10-2018,21,3rd Week,10,Q4,2018
D000971,20-12-2019,20,3rd Week,12,Q4,2019
D000972,25-12-2015,25,4th Week,12,Q4,2015
D000973,16-06-2015,16,3rd Week,6,Q2,2015
D000974,12-04-2020,12,2nd Week,4,Q2,2020
D000975,27-09-2016,27,4th Week,9,Q3,2016
D000976,18-08-2020,18,3rd Week,8,Q3,2020
D000977,23-12-2015,23,4th Week,12,Q4,2015
D000978,15-08-2018,15,3rd Week,8,Q3,2018
D000979,22-01-2016,22,4th Week,1,Q1,2016
D000980,26-12-2018,26,4th Week,12,Q4,2018
D000981,16-07-2017,16,3rd Week,7,Q3,2017
D000982,26-02-2014,26,4th Week,2,Q1,2014
D000983,09-05-2018,9,2nd Week,5,Q2,2018
D000984,19-07-2015,19,3rd Week,7,Q3,2015
D000985,05-08-2016,5,1st Week,8,Q3,2016
D000986,13-10-2018,13,2nd Week,10,Q4,2018
D000987,19-02-2020,19,3rd Week,2,Q1,2020
D000988,20-07-2017,20,3rd Week,7,Q3,2017
D000989,19-05-2019,19,3rd Week,5,Q2,2019
D000990,04-11-2017,4,1st Week,11,Q4,2017
D000991,20-10-2016,20,3rd Week,10,Q4,2016
D000992,14-07-2017,14,2nd Week,7,Q3,2017
D000993,20-11-2014,20,3rd Week,11,Q4,2014
D000994,22-02-2016,22,4th Week,2,Q1,2016
D000995,08-10-2019,8,2nd Week,10,Q4,2019
D000996,23-11-2017,23,4th Week,11,Q4,2017
D000997,20-09-2016,20,3rd Week,9,Q3,2016
D000998,05-04-2018,5,1st Week,4,Q2,2018
D000999,31-03-2017,31,4th Week,3,Q1,2017
D001000,18-04-2018,18,3rd Week,4,Q2,2018
D001001,03-11-2014,3,1st Week,11,Q4,2014
D001002,31-12-2015,31,4th Week,12,Q4,2015
D001003,03-05-2015,3,1st Week,5,Q2,2015
D001004,09-01-2015,9,2nd Week,1,Q1,2015
D001005,28-11-2015,28,4th Week,11,Q4,2015
D001006,16-10-2019,16,3rd Week,10,Q4,2019
D001007,06-12-2015,6,1st Week,12,Q4,2015
D001008,10-10-2018,10,2nd Week,10,Q4,2018
D001009,19-03-2016,19,3rd Week,3,Q1,2016
D001010,04-10-2016,4,1st Week,10,Q4,2016
D001011,15-09-2014,15,3rd Week,9,Q3,2014
D001012,13-07-2015,13,2nd Week,7,Q3,2015
D001013,02-09-2015,2,1st Week,9,Q3,2015
D001014,06-03-2015,6,1st Week,3,Q1,2015
D001015,02-11-2020,2,1st Week,11,Q4,2020
D001016,30-04-2017,30,4th Week,4,Q2,2017
D001017,22-08-2016,22,4th Week,8,Q3,2016
